question;answer;classifier_1;classifier_2;is_knowledge_base
А мне обязательно верифицировать свой канал, чтобы монетизироваться?;Верификация канала не нужна для подключения к монетизации. Узнайте больше о монетизации на RUTUBE по ссылке: https://rutube.ru/info/monetization.;МОНЕТИЗАЦИЯ;Отключение/подключение монетизации;0
А можно будет поменять внешний вид у встроенного видео? Например, размер поменять, можно?;"Да, после вставки кода видео в код страницы вы можете вносить в него дополнительные изменения, меняя значения в коде. Доступно следующее: width=""864"" height=""486"" — ширина и высота окна плеера, https://rutube.ru/play/embed/7716bd3e665725c3c008ae7ab4ff02e2 — эмбедироваванная ссылка на видео, skinColor=e53935 — основной цвет интерфейса (красный), t=300 — время в секундах, с которого начнётся воспроизведение (300 секунд = 5 минут), stopTime=480 — время в секундах, на котором воспроизведение завершится (480 секунд = 8 минут), frameborder — параметр, отвечающий за активацию рамки по периметру окна плеера. Может задаваться значением 1 (вкл) и 0 (выкл, по умолчанию), allow=""clipboard-write; autoplay"" — параметры управления буфером копирования и автоматическим запуском видео, если выполнены все условия для автоматического запуска. webkitAllowFullScreen mozallowfullscreen — фрагмент кода, который позволяет запускать плеер в полноэкранном режиме на устаревших версиях браузеров, allowFullScreen — фрагмент кода, отвечающий за активацию функции полноэкранного просмотра из эмбеда. Если его удалить из кода, то функция будет недоступна, <a href=""https://rutube.ru/video/7716bd3e665725c3c008ae7ab4ff02e2/"">«Тотальный футбол»: топовый дебют Миранчука, как поменять наш футбол – реформы Гогниева</a> — фрагмент кода, который отвечает за отображение названия видео; содержит ссылку на встариваемое видео и его название, <a href=""//rutube.ru/metainfo/tv/23137/"">Тотальный футбол</a> — фрагмент кода, который отвечает за отображение автора канала, с которого взято видео, <a href=""https://rutube.ru/"">RUTUBE</a> — фрагмент кода, который отображает ссылку на видеохостинг и название RUTUBE. Добавляется при проставлении галочки «Показывать название видео».";ВИДЕО;Встраивание видео;0
А можно видео с рутуба на другом сайте вставить чтобы плеером было красиво?;Да, конечно. Для встраивания видео с RUTUBE вам потребуется добавить код вставки плеера в код страницы. Встроить можно любое общедоступное видео, если же видео доступно только по прямой ссылке, потребуется доступ в студию RUTUBE автора, чтобы скопировать прямую ссылку. Как встроить пллер: 1) Откройте видео на RUTUBE и нажмите под плеером «Поделиться» → «Код вставки плеера». 2) Скопируйте код нажатием или по кнопке «Копировать». 3) Вставьте полученный код в код страницы, куда хотите встроить плеер.;ВИДЕО;Встраивание видео;0
А можно ли не обновлять ваш рутубе? У меня старый телевизор, работает хорошо, меня все устраивает;Приложение будет работать и без обновления, если производитель ТВ не удалит его из встроенного магазина. Если же приложение перестанет работать, то рекомендуем приобрести приставку Smart TV на базе Android TV версии 7.0 и выше.;ДОСТУП К RUTUBE;Приложение;0
А на верификацию только организации могут подать?;Подать заявку на верификацию возможно для любого пользователя RUTUBE из любой страны, если выполнены все необходимые условия и документы оформлены правильно.;УПРАВЛЕНИЕ АККАУНТОМ;Верификация;0
А на старом телевизоре можно вашем приложением пользоваться? Я вроде скачал, все нормально, только оно не обновляется…;Да, это возможно, но если производитель ТВ удалит приложение из встроенного магазина, оно может работать нестабильно. Мы рекомендуем в таком случае приобрести приставку Smart TV на базе Android TV версии 7.0 и выше.;ДОСТУП К RUTUBE;Приложение;0
А ничего если я на стриме буду пить пиво?;Такие стримы не должны противоречить правилам размещения рекламы на платформе и поощрять деструктивное поведение. Трансляция должна быть отмечена возрастным ограничением 18+, и все ее участники должны быть совершеннолетними.;МОДЕРАЦИЯ;Отклонение/блокировка видео;0
А подать заявку можно любому?;Любой пользователь RUTUBE, независимо от страны проживания, может пройти процесс верификации, если выполнит все необходимые условия и правильно заполнит заявку.;УПРАВЛЕНИЕ АККАУНТОМ;Верификация;0
А реклама будет на трансляции?;Реклама отсутствует в прямом эфире. В записи трансляции она будет, как и в других видео.;ТРАНСЛЯЦИЯ;Просмотр трансляции;0
А реклама будет, если я запущу стрим?;Один раз перед началом трансляции для зрителей будет показ рекламы.;ТРАНСЛЯЦИЯ;Просмотр трансляции;0
А с телефона можно стримить на рутуб?;Прямые трансляции можно вести не только на сайте, но и в приложении RUTUBE на iOS, Android, Harmony OS, а еще в приложении Студия RUTUBE для Android.;ТРАНСЛЯЦИЯ;Управление трансляцией;0
А сколько всего видео может быть в разделе Shorts на главной?;Число роликов Shorts на главной странице не ограничено, но алгоритм попадания видео в этот раздел определяется внутренними процессами платформы.;ВИДЕО;Загрузка видео;0
А сколько трансляций можно запустить одновременно?;Максимальное количество одновременных трансляций через Студию RUTUBE (https://studio.rutube.ru/create-stream) — 20 трансляций.;ТРАНСЛЯЦИЯ;Управление трансляцией;0
А стримить - это как?;Каждый пользователь RUTUBE может транслировать видео в реальном времени («стримить»). Для этого нужен ноутбук или компьютер с веб-камерой. Трансляции отображаются на личной странице автора и в разделе всех трансляций на сайте RUTUBE (https://rutube.ru/feeds/stream/), где представлены как авторские стримы, так и прямые эфиры телеканалов.;ТРАНСЛЯЦИЯ;Управление трансляцией;0
А трансляции на рутубе только 30 фпс?;Для трансляций на RUTUBE доступно от 25 fps до 60 fps.;ТРАНСЛЯЦИЯ;Просмотр трансляции;0
"А трансляцию ""по ссылке"" как-то можно увидеть на моем канале?";Приватные трансляции полностью скрыты и не доступны в публичных разделах. Посмотреть их возможно только получив прямую ссылку от автора.;ТРАНСЛЯЦИЯ;Просмотр трансляции;0
А физикам доступна верификация на Рутуб?;"Да, верификацию может получить и физическое лицо, если выполнены следующие условия: установлены аватар и обложка канала; заполнены описание и название канала; опубликованы не менее 2 видео, последнее из которых не старше 3-х месяцев; наличие ссылок на канал на других платформах.";УПРАВЛЕНИЕ АККАУНТОМ;Верификация;0
А шортсы всегда будут вертикально отображаться или можно их как-то свернуть их в горизонтальный плеер?;На сайте и в приложениях RUTUBE ролики shorts воспроизводятся только через вертикальный плеер.;ВИДЕО;Воспроизведение видео;0
Автосубтитры? Это как?;При загрузке видео вы можете включить субтитры, которые будут создаваться автоматически. Для их создания мы используем искусственный интеллект на основе алгоритмов распознавания речи. Мы постоянно улучшаем технологию ИИ, но иногда речь распознаётся не совсем верно. Обычно ошибки в автоматических субтитрах связаны с неправильным и/или нечётким произношением, с особенностями акцента или диалекта говорящего, а также с фоновым шумом. Пока автоматические субтитры работают только для видео с русскоязычной озвучкой.;ВИДЕО;Загрузка видео;0
Будет ли видно зрителям, что комментарий оставил модератор моего канала или будет отображаться, будто я написал?;Для зрителей разницы в отображении не будет, все действия пользователей, которым вы назначили роли на вашем канале, будут выполняться от имени владельца канала.;УПРАВЛЕНИЕ АККАУНТОМ;Персонализация;0
Будет ли приватная трансляция отображаться на личной странице (канале) пользователя и в разделе RUTUBE «Все трансляции»?;Нет, приватные трансляции не отображаются в этих разделах. Просмотр возможен только по ссылке от автора.;ТРАНСЛЯЦИЯ;Просмотр трансляции;1
Будет ли приложение работать без обновлений на старых моделях Smart TV?;Да, если производитель ТВ не удалит приложение. Если приложение перестанет работать, рекомендуем приобрести приставку Smart TV на базе Android TV версии 7.0 и выше.;ДОСТУП К RUTUBE;Приложение;1
В записи трансляции появятся субтитры?;Сейчас такой функции нет, но мы зафиксировали ваше пожелание и передали его в отдел разработки.;ПРЕДЛОЖЕНИЯ;Плеер;0
В каких приложениях доступны прямые трансляции?;Прямые трансляции доступны из приложения RUTUBE для iOS, Android, Harmony OS, и в приложении Студия RUTUBE на Android.;ТРАНСЛЯЦИЯ;Управление трансляцией;1
В каких странах доступно приложение RUTUBE для Smart TV?;Приложение доступно в РФ и странах СНГ.;ДОСТУП К RUTUBE;Приложение;1
В каком порядке видео располагаются на канале?;Видеоролики на канале располагаются по дате публикации.;ВИДЕО;Загрузка видео;0
В каком порядке видео у меня настранице?;Видео отображаются в порядке публикации.;ВИДЕО;Загрузка видео;0
В каком порядке публикуются и отображаются видео на канале?;Все видео на канале отображаются по дате публикации. Сверху всегда располагаются недавно опубликованные.;ВИДЕО;Загрузка видео;1
В каком случае мне нужно отметить свой стрим как 18+?;Ограничение по возрасту 18+ необходимо для материалов, содержащих сцены драк, нецензурную лексику, откровенные сцены, спаривание животных, хирургические операции, охоту, информацию о табаке, алкоголе, самогоноварении, обзоры энергетических напитков, оправдание противозаконного поведения, новости о трагических событиях и так далее.;МОДЕРАЦИЯ;Смена категории/возрастные ограничения;0
В каком формате добавляются таймкоды?;Формат: минуты:секунды или часы:минуты:секунды. Например, 40:05 или 02:40:05. Первый эпизод должен начинаться с отметки 00:00. Перечислять эпизоды нужно в порядке их появления в видео. Эпизодов может быть от 2-х и больше.;ВИДЕО;Загрузка видео;0
В каком формате нужно добавлять тайм-коды под видео?;Главное — соблюдать несколько правил. Тайм-код должен отображать время в формате минуты:секунды или часы:минуты:секунды. Например, 40:05 или 02:40:05. Первый эпизод должен начинаться с отметки 00:00. Перечислять эпизоды нужно в порядке их появления в видео. Эпизодов может быть от 2-х и больше. Эпизод должен быть не короче 2% от общей длительности ролика. Минимальная длительность эпизода — не менее 10 секунд. Если вся длина видео меньше 10 секунд, разбить на эпизоды по тайм-кодам его не получится. Пример видео с тайм-кодами есть здесь https://rutube.ru/video/e4c7c981dbb86eaf6aaedd518026ac28/?playlist=198152&playlistPage=3;ВИДЕО;Загрузка видео;1
В личном кабинете есть надпись «Требуется дополнительная информация», после подключения монетизации, что не так?;Удостоверьтесь, что вы приложили к заявке необходимые документы – это паспорт, ИНН, СНИЛС, справка о постановке на учёт в налоговой или справка из приложения «Мой налог», а также дополнительно для ИП и юрлица документы о регистрации и выписка из ЕГРИП/ЕГРЮЛ. Если каких-либо документов не хватает, вы можете направить их на partners@rutube.ru.;МОНЕТИЗАЦИЯ;Отключение/подключение монетизации;0
В приложении RUTUBE для SmartTV на экране телевизора появляется код. Зачем он нужен и куда его ввести?;Этот код нужен для того, чтобы зарегистрировать ваше устройство (Android TV, Apple TV, Google TV и др.) и получить доступ к полному функционалу RUTUBE. Код необходимо ввести в соответствующее поле, открыв вкладки «Настройки» — «Подключенные устройства» в вашем канале: https://rutube.ru/profile/devices-settings/. Обращаем внимание, что это можно сделать только на компьютере или ноутбуке, либо в мобильном браузере.;УПРАВЛЕНИЕ АККАУНТОМ;Регистрация/Авторизация;1
В приложении RUTUBE для ТВ недоступны каналы СТС, Рен ТВ, Че, Домашний, что делать?;Некоторые прямые эфиры временно недоступны на ТВ, но совсем скоро мы это исправим. А пока рекомендуем смотреть эфиры на сайте https://rutube.ru.;ТРАНСЛЯЦИЯ;ТВ-эфиры;1
ВОПРОС ОБ ОТКАЗЕ ОТ ПУБЛИКОВАНИЯ ПРОИЗВЕДЕНИЯ ОБЩЕСТВЕННОГО ДОСТОЯНИЯ, БУДЕТ ТАКОЕ?;На платформе не запрешено публиковать чтение произведений или ех переводов, если метариалы перешли в категорию общественного достояния. Произведение переходит в общественное достояние через 70 лет после смерти автора, считая с 1 января года, следующего за годом смерти.;МОДЕРАЦИЯ;Отклонение/блокировка видео;0
Ваше видео отклонено, этьо что ?;Пожалуйста, пришлите ссылку на видео, мы проверим причину отклонения.;МОДЕРАЦИЯ;Отклонение/блокировка видео;0
"Видел кнопку ""поддержать автора"", хочу такую включить, как?";"Для того, чтобы подключить донаты в веб-версии, необходимо: 1. Зарегистрироваться в любом сервисе для получения донатов из списка. 2. Совершить действия, указанные в сервисе, для получения ссылки (для приема донатов). 3. Авторизоваться на rutube.ru. 4. Перейти в раздел ""Настройка канала"" в Студии RUTUBE по ссылке https://studio.rutube.ru/channel-settings. 5. В поле ""Поддержать автора"" указать ссылку на сервис приема донатов, куда пользователи смогут перечислять средства: Под всеми видео на канале появится кнопка ""Поддержать автора"" для отправки средств на счет. Данная кнопка будет видна всем пользователям, кроме автора.";БЛАГОТВОРИТЕЛЬНОСТЬ ДОНАТЫ;Подключение/отключение донатов;0
Видео загрузилось и там отстает звук;"Уточните, пожалуйста, файл соответствует параметрам ниже: · Размер: не более 25 Гб; · Длительность: не более 5 часов (300 минут); · Формат контейнера: MP4; · Видео-кодек: H264 (MainConcept); · Аудио-кодек: MPEG 2 ACC-LC, Stereo; · Параметры видео: bitrate выше 3600 kbps, разрешение до 3840 Х 2160 (соотношение сторон 16:9), frame rate: до 60 fps, key frame каждый 50-й кадр; · Параметры аудио: bitrate 128 kbps, 44100 KHz. Мы также советуем избегать: · форматов VOB, WMV, AVI, MKV; · разных длин аудио и видео дорожек; · нескольких видео- и аудиопотоков в одном файле; · больших размеров кадра при маленьком битрейте (например, FullHD с 400kbps).";ВИДЕО;Загрузка видео;0
Видео не соответствует вашим правилам, как пожаловаться?;Спасибо, что заметили, мы обязательно проверим. Пожалуйста, заполните эту форму: https://rutube.ru/forms/form/2/;МОДЕРАЦИЯ;Запрещенный контент;0
Видео недавно загрузилось, почему оно до сих пор не появилось на RUTUBE?;Все видео, которые вы загружаете на RUTUBE, проходят модерацию — проверку на соответствие пользовательскому соглашению https://rutube.ru/info/agreement. Обычно модерация длится до 24 часов. Как только наши модераторы проверят видео, оно появится на вашем канале. Подробнее о процессе модерации можно почитать здесь https://rutube.ru/info/moderation;МОДЕРАЦИЯ;Долгая модерация;1
Видео уже загрузил, а его почему-то нет?;Видео ещё на модерации. Все видео, которые вы загружаете на RUTUBE, проходят модерацию — проверку на соответствие пользовательскому соглашению https://rutube.ru/info/agreement. Обычно модерация длится до 24 часов. Как только наши модераторы;МОДЕРАЦИЯ;Долгая модерация;0
"Включаю видео, а там ""контент недоступен"" и предлагает идти на сайт";Это возможно из-за устаревшей версии приложения, попробуйте обновить его через магазин приложений на вашем устройстве или загрузите установочный файл.;ВИДЕО;Недоступность видео;0
Включил фильм на телевизоре, а там только HD, где 4К у вас?;В настоящее время воспроизведение видео в формате 4К доступно только на приставках Apple TV, но мы планируем добавить эту функцию и для других телевизоров и приставок в будущем.;ПРЕДЛОЖЕНИЯ;Плеер;0
Возможно ли монетизировать ролики Shorts?;Да, ролики Shorts могут монетизироваться так же, как и другие видео, при соблюдении правил RUTUBE: https://rutube.ru/info/adv_oferta/;МОНЕТИЗАЦИЯ;Отключение/подключение монетизации;0
Возможно ли поменять настройки приватности потом у записи трансляции?;Параметры доступа у записи приватной трансляции всегда можно отредактировать в Студии RUTUBE: https://studio.rutube.ru/videos;ВИДЕО;Загрузка видео;0
Возможно ли участвовать в партнерской программе, если зарегистрирован не в РФ?;В данный момент такой возможности не предусмотрено, но мы работаем над этим.;ПРЕДЛОЖЕНИЯ;Монетизация;0
Все пишут, что монетизация на рутубе отключается сама собой, у меня тоже так будет?;Добрый день! Монетизация может отключиться, если на вашем канале есть музыка, видео или изображения из общего доступа, книги и учебники, цитаты молитв, права на которые вам не принадлежат. Авторским правом охраняются все произведения искусства, литературы и науки — то есть любая музыка, видео и изображения. При этом неважно, насколько они популярны или ценны для общества. У них у всех есть автор или правообладатель. Помните: то, что материал гуляет по интернету, не означает, что его можно использовать без ограничений. Для монетизации можно использовать: То, что вы создали сами: видео, которое вы сняли, музыку, которую вы написали, изображения, которые вы создали. Видео, музыку, изображения со стоков, которые предоставляют лицензию на коммерческое использование. Рекомендуем внимательно читать условия лицензии и соблюдать их — например, размещать ссылки на источники и имя автора, как это предусмотрено лицензией. Видео, музыку, изображения из библиотек платных видеоредакторов, лицензия которых предусматривает право на их коммерческое использование. Иногда можно использовать короткие фрагменты и цитаты чужих произведений, указывая автора и источник, но размер этого фрагмента должен быть оправдан целью вашего видео. Например, строчка из новостей в глобальной аналитике прессы, часть песни в разборе вокальных приёмов и подобное. Если на вашем канале есть потенциально чужой контент и вы хотите его монетизировать, предоставьте документы от его правообладателя — например: Лицензионный договор, договор об отчуждении исключительного права, разрешительное или гарантийное письмо от правообладателя и т. п. Подробнее об авторском праве: https://rutube.ru/info/authors/;МОНЕТИЗАЦИЯ;Отключение/подключение монетизации;0
Встраивание это что?;"Встраивание или ""эмбедирование"" — это функция по встраиванию плеера видео с RUTUBE на сторонние сайты.";ВИДЕО;Встраивание видео;0
Вы модерируете сами или это роботы?;Мы уже используем технологии искусственного интеллекта для модерации загружаемого контента, чтобы сократить объемы ручной работы. Надеемся, что взаимодействие с платформой принесет только положительные эмоции.;МОДЕРАЦИЯ;Отклонение/блокировка видео;0
Вы не одобрили мою заявку на статус официального канала без комментариев… хотелось бы знать, в чем причина.;Для уточнения решения по вашей заявке вы можете обратиться на partners@rutube.ru, мы поможем разобраться.;УПРАВЛЕНИЕ АККАУНТОМ;Верификация;0
Вы поддерживаете 60 кадров на записи трансляции?;Для записей трансляций также поддерживается кадровая частота в 60 fps.;ТРАНСЛЯЦИЯ;Управление трансляцией;0
Вы показываете рекламу на трансляциях?;Зрителям показывают рекламу единожды перед началом трансляции.;ТРАНСЛЯЦИЯ;Просмотр трансляции;0
"Где в приложении студии на айфон раздел ""Комментарии""?";"На данный момент такого раздела в приложении нет. Мы постоянно работаем над улучшением платформы и прислушиваемся к мнению пользователей. Ваше пожелание уже передали команде разработки. Рекомендуем воспользоваться разделом ""Комментарии"" в веб-версии Студии: https://studio.rutube.ru/comments";ПРЕДЛОЖЕНИЯ;Студия RUTUBE;0
Где взять ссылку для донатов?;Вы можете зарегистрироваться в любом из сервисов, и предоставить ссылку от туда.;БЛАГОТВОРИТЕЛЬНОСТЬ ДОНАТЫ;Подключение/отключение донатов;0
Где есть аналитика по деньгам?;Вся доступная информация и статистика и аналитика отображается в вашем личном кабинете Студии RUTUBE в разделе «Монетизация»: https://studio.rutube.ru/monetization;МОНЕТИЗАЦИЯ;Статистика по монетизации;0
Где искать ваше приложение на телевизоре, не понимаю?;Приложение можно загрузить бесплатно из магазина приложений на вашем Smart TV.;ДОСТУП К RUTUBE;Приложение;0
Где можно изменить название канала в студии на смартфорне?;"Для изменения названия канала, нажмите на фото своего профиля в правом верхнем углу и выберете раздел ""Настройки канала"".";УПРАВЛЕНИЕ АККАУНТОМ;Персонализация;0
Где можно скачать приложение RUTUBE для Smart TV?;Приложение можно скачать бесплатно из магазина приложений на вашем Smart TV.;ДОСТУП К RUTUBE;Приложение;1
Где можно скачать приложение Студия RUTUBE?;Скачать приложение Студия RUTUBE можно в: 1. Google Play: https://play.google.com/store/apps/details?id=ru.rutube.studio 2. AppGallery: https://appgallery.huawei.com/#/app/C111062405 3. RuStore: https://www.rustore.ru/catalog/app/ru.rutube.studio;ДОСТУП К RUTUBE;Приложение;1
Где найти историю просмотра?;История просмотра находится разделе «Моё».;УПРАВЛЕНИЕ АККАУНТОМ;Персонализация;1
Где найти ролики, которые я посмотрел?;"Просмотренные вами ролики сохраняются в раздел ""Моё"" - ""История просмотра"".";УПРАВЛЕНИЕ АККАУНТОМ;Персонализация;0
Где найти свои ролики Shorts?;Опубликованные ролики Shorts вы можете найти в Студии RUTUBE → «Видео» → вкладка Shorts: https://studio.rutube.ru/videos?#shorts;ВИДЕО;Загрузка видео;1
Где найти этот раздел моё? все перетыкала уже, в упор не вижу;Обновите, пожалуйста, приложение до последней версии, вероятно, проблема может быть связана с этим. Раздел «Моё» доступен на всех устройствах Android TV с версией приложения 28.2.1, Apple TV с версией приложения 10.2.18, а также на устройствах Samsung, LG, Hisense и других с версией приложения 24.0.;ДОСТУП К RUTUBE;Приложение;0
Где находятся настройки доступа к студии канала в Студии RUTUBE?;"Функционал предоставления доступа другим пользователям находится в блоке ""Доступы к студии канала"" в настройках канала: https://studio.rutube.ru/channel-settings. Здесь вы можете добавлять пользователей, назначать и изменять их роли.";УПРАВЛЕНИЕ АККАУНТОМ;Персонализация;1
